German,English
Ich,I
ist,is
ich,I
nicht,not
Sie,she
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,That
ein,a
in,in
wir,weather
Du,You
mir,me
mit,with
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,Has
Wir,we
Und,and
so,so
sind,are
von,from
dich,you
war,was
haben,to have
für,for
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,how
noch,still
dir,to you
uns,US
sich,themselves
Die,the
nur,only
einen,a
Nein,no
dem,to the
ihn,him
auch,even
hast,have
sein,be
ihr,your
da,there
aus,the end
kann,can
aber,but
Aber,but
schon,beautiful
wenn,if
wird,will
um,around
Wie,As
als,as
bist,are you
im,in the
mal,times
doch,but
gut,Well
meine,my
jetzt,now
weiß,White
Wenn,if
werden,will
Der,Of the
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,no
etwas,some
alles,All
muss,got to
immer,always
nichts,nothing
man,one
wieder,again
bei,at
hab,have
machen,do
vor,before
Mann,man
ihm,him
einem,a
tun,to do
zum,to the
können,can
sagen,to say
werde,will
denn,because
Ist,is
Ein,A
Warum,why
einer,a
gehen,walk
sehen,see
sehr,very
geht,goes
alle,Everyone
über,above
müssen,have to
diese,these
einfach,simple
euch,you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,Time
Ihnen,them
gibt,gives
wirklich,really
Hey,Hey
Danke,thanks
deine,yours
würde,would
soll,target
Da,There
hatte,would have
Hier,here
wissen,to know
bitte,You're welcome
viel,much
Dann,then
So,So
gesagt,said
Ihr,you
am,at the
kein,no
Komm,come over
Wer,who
zurück,return
wurde,became
In,In
wollte,wanted to
Frau,Mrs
Leben,Life
wäre,were
wo,Where
damit,in order to
Nicht,not
Gott,God
Leute,people
kannst,can
heute,today
meinen,say
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,N / A
wollen,want
sicher,for sure
ganz,quite
Jetzt,now
Mein,my
Mr,Mr
also,so
zur,to the
Hast,Have
Gut,Good
hätte,would have
weil,because
tut,does
Hallo,Hello
Okay,OK
macht,power
waren,was
bis,until
Vielleicht,Maybe
könnte,could
Eine,One
Bitte,You're welcome
weg,path
seine,his
lassen,permit
Vater,father
gesehen,seen
Nun,so
gerade,just
Alles,Everything
glaube,faith
Tag,Day
ab,away
Geld,money
gemacht,made
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,none
durch,by
zwei,two
diesen,this
passiert,happened
wohl,well
vielleicht,perhaps
ihre,their
Mutter,mother
reden,talk
anderen,others
dachte,thought
daß,that
möchte,would like to
wirst,become
gehört,heard
weißt,whisper
Keine,No
raus,Out
Meine,My
paar,pair
besser,better
ob,if
her,on
musst,must
Ordnung,order
meiner,mine
klar,clear
ihnen,them
Los,Come on
diesem,This
meinem,my
lange,Long
Lass,let
dieses,this
helfen,help
unsere,our
Weg,path
selbst,self
Nur,Just
finden,Find
Mal,Times
jemand,someone
denke,think
Ach,Oh
Nacht,night
genau,precisely
gar,at all
sagt,says
Welt,world
Auf,on
Mädchen,girl
ins,into the
hin,there
vom,from the
schön,Nice
warum,why
weiter,Further
Leid,suffering
gleich,same
wer,who
Man,One
ohne,without
Menschen,people
deinen,yours
leid,suffering
Wieso,how come
dort,there
Als,as
Hause,Home
sollten,should
davon,of that
zusammen,together
geben,give
Ok,OK
Hör,Hear
machst,make
Freund,friend
richtig,correct
Angst,anxiety
Bist,Are you
Tut,Does
Mit,With
viele,many
sieht,sees
Haus,House
tot,dead
sollen,should
